id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,G 5158 AIQ,Motor,pasca,pertama,11:23,14:04,120,41,161
,H 6621 A,Motor,pasca,pertama,11:30,14:05,120,35,155
,AE 5103 NA,Motor,pasca,pertama,11:32,12:39,60,7,67
,H 8766 KQ,Motor,pasca,pertama,11:50,11:55,0,5,5
,R 4216 PS,Motor,pasca,pertama,11:50,14:09,120,19,139
,H 2055 MG,Motor,pasca,pertama,12:00,14:10,120,10,130
,H 5329 BNG,Motor,pasca,pertama,12:07,14:12,120,5,125
,AB 3628 XB,Motor,pasca,pertama,12:19,14:13,60,54,114
,G 3339 NW,Motor,pasca,pertama,12:20,14:20,120,0,120
,G 6560 NW,Motor,pasca,pertama,12:26,14:20,60,54,114
,K 6938 AKC,Motor,pasca,pertama,12:26,14:21,60,55,115
,G 2574 YL,Motor ,pasca,pertama,12:26,12:50,0,24,24
,K 5768 BM,Motor ,pasca,pertama,12:28,14:25,60,57,117
,H 5009 KA,Motor,pasca,pertama,12:30,12:49,0,19,19
,H 4620 RQ,Motor,pasca,pertama,12:30,14:28,60,58,118
,H 6931 DS,Motor,pasca,pertama,12:38,15:28,120,50,170
,H 6432 BJ,Motor,pasca,pertama,12:40,14:46,120,6,126
,K 6496 AMC,Motor,pasca,pertama,12:41,15:46,180,5,185
,H 5239 AIW,Motor,pasca,pertama,12:42,13:15,0,33,33
,H 6096 AIG,Motor,pasca,pertama,12:43,14:15,60,32,92
,G 4190 AW,Motor,pasca,pertama,12:43,15:15,120,32,152
,G 3470 SZ,Motor,pasca,pertama,12:46,13:48,60,2,62
,H 4318 TA,Motor,pasca,pertama,12:48,14:48,120,0,120
,K 5048 NN,Motor,pasca,pertama,12:48,13:52,60,4,64
,K 5546 OC,Motor,pasca,pertama,12:54,13:57,60,3,63
,R 6774 QW,Motor ,pasca,pertama,12:57,14:57,120,0,120
,K 2066 HQ,Motor,pasca,pertama,12:59,15:57,120,58,178
,H 3862 TE,Motor,pasca,pertama,13:00,15:00,120,0,120
,G 4768 MI,Motor,pasca,pertama,13:00,13:43,0,43,43
,K 4969 U,Motor,pasca,pertama,13:00,14:43,60,43,103
,K 5485 DG,Motor,pasca,pertama,13:01,13:55,0,54,54
,H 3569 QJ,Motor,pasca,pertama,13:01,14:55,60,54,114
,H 6401 SM,Motor,pasca,pertama,13:04,15:55,120,51,171
,K 3270 CU,Motor,pasca,pertama,13:04,13:30,0,26,26
,G 4768 MI,Motor,pasca,pertama,13:05,14:30,60,25,85
,H 6461 BLG,Motor,pasca,pertama,13:05,13:07,0,2,2
,H 2926 AME,Motor,pasca,pertama,13:05,14:46,60,41,101
,D 5794 ZZ,Motor,pasca,pertama,13:06,15:46,120,40,160
,H 3162 AMG,Motor,pasca,pertama,13:06,16:46,180,40,220
,H 8648 VR,Mobil,pasca,pertama,13:08,17:46,240,38,278
,K 4489 JU,Motor,pasca,pertama,13:09,13:46,0,37,37
,K 3849 MJ,Motor,pasca,pertama,13:14,14:46,60,32,92
,G 2360 LT,Motor,pasca,pertama,13:14,15:46,120,32,152
,K 2601 FQ,Motor,pasca,pertama,13:14,16:46,180,32,212
,K 2478 JL,Motor,pasca,pertama,13:15,14:28,60,13,73
,H 2763 JN,Motor,pasca,pertama,13:16,13:24,0,8,8
,K 2971 MU,Motor,pasca,pertama,13:16,13:17,0,1,1
,AA 3296 QA,Motor,pasca,pertama,13:18,14:30,60,12,72
,G 5019 MA,Motor,pasca,pertama,13:18,14:30,60,12,72
,H 4376 AKG,Motor,pasca,pertama,13:21,15:30,120,9,129
,H 6417 AU,Motor,pasca,pertama,13:25,16:30,180,5,185
,K 4519 HC,Motor,pasca,pertama,13:27,14:33,60,6,66
,K 6811 IC,Motor ,pasca,pertama,13:33,14:39,60,6,66
,R 4604 UD,Motor,pasca,pertama,13:34,14:40,60,6,66
,H 6949 NF,Motor ,pasca,pertama,13:36,15:40,120,4,124
,K 2166 IC,Motor,pasca,pertama,13:37,16:40,180,3,183
,H 2676 BEG,Motor,pasca,pertama,13:38,14:48,60,10,70
,G 3136 BV,Motor,pasca,pertama,13:40,14:53,60,13,73
,H 5988 APE,Motor,pasca,pertama,13:40,15:53,120,13,133
,K 4016 GQ,Motor,pasca,pertama,13:51,16:53,180,2,182
,G 6303 SP,Motor,pasca,pertama,13:51,17:53,240,2,242
,H 8818 AR,Mobil ,pasca,pertama,13:53,18:53,300,0,300
,H 9275 YH,Mobil,pasca,pertama,14:00,19:53,300,53,353
,K 4204 LG,Motor,pasca,pertama,14:02,20:53,360,51,411
,G 3248 IR,Motor,pasca,pertama,14:02,21:53,420,51,471
,K 2624 GU,Motor,pasca,pertama,14:07,22:53,480,46,526
,K 2264 Y,Motor,pasca,pertama,14:10,23:53,540,43,583
,H 2549 ACW,Motor,pasca,pertama,14:10,0:53,600,43,643
,H 3374 ZC,Motor,pasca,pertama,14:25,1:53,660,28,688
,H 5295 PY,Motor,pasca,pertama,14:27,2:53,720,26,746
,K 3918 US,Motor,pasca,pertama,14:44,3:53,780,9,789
,K 5546 OC,Motor,pasca,pertama,14:50,4:53,840,3,843
,H 6461 BLG,Motor,pasca,pertama,15:00,5:53,840,53,893
